business_score,valuation_score,readiness_score,decision
49,86,57,WAIT
49,73,39,AVOID
77,46,60,WAIT
59,53,84,WAIT
35,33,46,AVOID
77,51,52,WAIT
51,87,60,WAIT
77,58,62,WAIT
36,74,38,AVOID
70,39,47,WAIT
62,54,77,WAIT
76,57,55,WAIT
77,49,30,WAIT
65,45,86,WAIT
78,60,90,BUY
89,78,49,BUY
52,64,69,WAIT
88,61,36,WAIT
69,76,31,WAIT
53,86,39,WAIT
90,78,49,BUY
69,49,36,WAIT
42,89,78,WAIT
68,67,69,WAIT
83,44,81,WAIT
30,31,60,AVOID
52,50,79,WAIT
69,54,37,WAIT
71,50,44,WAIT
58,49,66,WAIT
33,32,59,AVOID
36,74,64,AVOID
88,60,53,WAIT
53,79,65,WAIT
32,79,63,AVOID
77,84,74,BUY
43,31,74,AVOID
33,43,66,AVOID
70,30,34,AVOID
56,63,38,AVOID
57,49,65,WAIT
78,37,85,WAIT
71,41,81,WAIT
68,69,62,WAIT
86,54,73,WAIT
85,64,81,BUY
38,32,30,AVOID
43,49,45,AVOID
58,34,43,AVOID
58,78,90,WAIT
76,65,82,WAIT
71,39,51,WAIT
30,55,49,AVOID
69,48,47,WAIT
76,70,88,BUY
76,68,85,BUY
35,69,68,AVOID
77,44,31,WAIT
56,66,45,WAIT
71,46,85,WAIT
58,32,36,AVOID
55,87,42,WAIT
39,38,74,AVOID
36,50,69,AVOID
70,67,76,WAIT
39,61,56,AVOID
61,61,60,WAIT
45,81,50,WAIT
70,64,43,WAIT
64,62,90,WAIT
40,37,37,AVOID
38,58,48,AVOID
60,64,70,WAIT
69,34,73,WAIT
65,66,48,WAIT
55,48,62,AVOID
82,37,58,WAIT
37,64,75,AVOID
38,38,50,AVOID
52,55,39,AVOID
88,72,73,BUY
81,51,33,WAIT
85,39,84,WAIT
44,75,50,AVOID
63,48,73,WAIT
44,51,73,AVOID
31,38,71,AVOID
88,69,57,BUY
46,90,39,WAIT
30,83,33,AVOID
70,50,85,WAIT
40,58,33,AVOID
79,68,75,WAIT
76,58,71,WAIT
57,77,80,WAIT
43,72,37,AVOID
30,81,55,AVOID
64,45,53,WAIT
51,86,63,WAIT
52,52,85,WAIT
72,54,47,WAIT
83,41,48,WAIT
58,73,41,WAIT
46,87,42,WAIT
36,67,68,AVOID
56,54,75,WAIT
